cohort,group,gene,clinvar_total_submissions,clinvar_total_alleles,clinvar_path_lp_alleles,clinvar_n_conditions,in_clinvar
KIRC,OncoKB-FDR-sig,TPR,363.0,317.0,9.0,1.0,True
KIRC,OncoKB-FDR-sig,SPEN,1256.0,987.0,104.0,1.0,True
KIRC,OncoKB-FDR-sig,STAG2,1503.0,1232.0,50.0,2.0,True
KIRC,OncoKB-FDR-sig,ATM,50933.0,19500.0,4028.0,4.0,True
KIRC,OncoKB-FDR-sig,KDM5C,1745.0,1343.0,191.0,1.0,True
KIRC,OncoKB-FDR-sig,MTOR,4086.0,3194.0,54.0,2.0,True
KIRC,OncoKB-FDR-sig,PTEN,8857.0,4108.0,1321.0,11.0,True
KIRC,OncoKB-FDR-sig,SETD2,2159.0,1534.0,69.0,3.0,True
KIRC,OncoKB-FDR-sig,KMT2C,3659.0,2749.0,194.0,2.0,True
KIRC,OncoKB-FDR-sig,PBRM1,283.0,159.0,1.0,1.0,True
KIRC,OncoKB-FDR-sig,VHL,5099.0,2250.0,483.0,5.0,True
KIRC,OncoKB-FDR-sig,MKI67,764.0,680.0,1.0,,True
KIRC,OncoKB-FDR-sig,ARID1A,2639.0,1932.0,142.0,1.0,True
KIRC,OncoKB-FDR-sig,PCLO,4208.0,3398.0,77.0,2.0,True
KIRC,OncoKB-FDR-sig,FAT1,2835.0,1980.0,44.0,,True
KIRC,OncoKB-FDR-sig,LRP1B,864.0,737.0,12.0,,True
KIRC,OncoKB-FDR-sig,KAT6A,2824.0,2085.0,196.0,1.0,True
KIRC,OncoKB-FDR-sig,EPHA5,168.0,164.0,2.0,,True
KIRC,OncoKB-FDR-sig,ADAR,2346.0,1753.0,113.0,3.0,True
KIRC,novel-FDR-sig,ABCA13,1089.0,954.0,4.0,,True
KIRC,novel-FDR-sig,MAST4,463.0,430.0,3.0,,True
KIRC,novel-FDR-sig,ALMS1,13580.0,7420.0,1048.0,1.0,True
KIRC,novel-FDR-sig,SYNE1,13440.0,7095.0,398.0,5.0,True
KIRC,novel-FDR-sig,MYH4,342.0,333.0,,,True
KIRC,novel-FDR-sig,ROCK1,169.0,152.0,9.0,,True
KIRC,novel-FDR-sig,BRWD3,1735.0,1320.0,69.0,1.0,True
KIRC,novel-FDR-sig,RBM39,90.0,60.0,,,True
KIRC,novel-FDR-sig,FLG,3032.0,2154.0,247.0,3.0,True
KIRC,novel-FDR-sig,TNR,385.0,326.0,15.0,1.0,True
KIRC,novel-FDR-sig,LAMA4,4302.0,2283.0,4.0,4.0,True
KIRC,novel-FDR-sig,HUWE1,3626.0,2687.0,79.0,1.0,True
KIRC,novel-FDR-sig,DENND4A,228.0,195.0,1.0,,True
KIRC,novel-FDR-sig,CPEB4,106.0,90.0,2.0,,True
KIRC,novel-FDR-sig,NAV3,389.0,366.0,7.0,1.0,True
KIRC,novel-FDR-sig,SPTA1,3565.0,1590.0,214.0,5.0,True
KIRC,novel-FDR-sig,SACS,8150.0,4984.0,1008.0,1.0,True
KIRC,novel-FDR-sig,SALL1,1295.0,780.0,123.0,1.0,True
KIRC,novel-FDR-sig,DCHS2,410.0,332.0,,,True
KIRC,novel-FDR-sig,DST,5271.0,4105.0,202.0,4.0,True
KIRC,novel-FDR-sig,DNAH11,9478.0,6669.0,610.0,2.0,True
KIRC,novel-FDR-sig,RYR1,24471.0,11109.0,815.0,10.0,True
KIRC,novel-FDR-sig,KIAA1217,403.0,352.0,1.0,,True
KIRC,novel-FDR-sig,LRP1,1023.0,780.0,7.0,2.0,True
KIRC,novel-FDR-sig,VCAN,3396.0,2497.0,27.0,1.0,True
KIRC,novel-FDR-sig,ABCC4,377.0,311.0,2.0,,True
KIRC,novel-FDR-sig,YLPM1,435.0,410.0,,,True
KIRC,novel-FDR-sig,PATJ,313.0,134.0,2.0,,True
KIRC,novel-FDR-sig,CACNA1S,8434.0,3525.0,130.0,8.0,True
KIRC,novel-FDR-sig,HMCN1,5260.0,3892.0,2.0,2.0,True
KIRC,novel-FDR-sig,CSMD3,683.0,615.0,4.0,,True
KIRC,novel-FDR-sig,ABCC9,3830.0,2254.0,105.0,8.0,True
KIRC,novel-FDR-sig,SRCAP,3500.0,2451.0,112.0,2.0,True
KIRC,novel-FDR-sig,DNAH2,995.0,859.0,9.0,1.0,True
KIRC,novel-FDR-sig,ANK3,2667.0,1873.0,29.0,1.0,True
KIRC,novel-FDR-sig,MYH7,15318.0,5860.0,442.0,14.0,True
KIRC,novel-FDR-sig,ZNF407,923.0,729.0,6.0,1.0,True
KIRC,novel-FDR-sig,CUBN,4318.0,2608.0,208.0,2.0,True
KIRC,novel-FDR-sig,PLXNA4,827.0,724.0,2.0,,True
KIRC,novel-FDR-sig,TLN2,546.0,497.0,,,True
KIRC,novel-FDR-sig,TRIOBP,2008.0,1168.0,107.0,4.0,True
KIRC,novel-FDR-sig,PKHD1,11884.0,6645.0,1621.0,2.0,True
KIRC,novel-FDR-sig,DSCAM,477.0,433.0,13.0,,True
KIRC,novel-FDR-sig,DIP2C,1336.0,1147.0,21.0,,True
KIRC,novel-FDR-sig,AHNAK,1205.0,1110.0,3.0,,True
KIRC,novel-FDR-sig,PDZD2,685.0,632.0,1.0,,True
KIRC,non-sig-tested,COL6A6,500.0,461.0,1.0,,True
KIRC,non-sig-tested,ALPK2,3402.0,3323.0,,,True
KIRC,non-sig-tested,LYST,6006.0,4138.0,283.0,1.0,True
KIRC,non-sig-tested,MUC16,942.0,715.0,13.0,,True
KIRC,non-sig-tested,SVEP1,681.0,589.0,,,True
KIRC,non-sig-tested,CENPF,1413.0,959.0,60.0,2.0,True
KIRC,non-sig-tested,PLB1,416.0,341.0,1.0,,True
KIRC,non-sig-tested,NUP205,1029.0,734.0,2.0,1.0,True
KIRC,non-sig-tested,AHNAK2,2334.0,2207.0,1.0,,True
KIRC,non-sig-tested,PKHD1L1,836.0,779.0,7.0,1.0,True
KIRC,non-sig-tested,RP1,2678.0,1859.0,345.0,2.0,True
KIRC,non-sig-tested,UBR4,1044.0,809.0,4.0,,True
KIRC,non-sig-tested,PLG,1011.0,665.0,29.0,2.0,True
KIRC,non-sig-tested,AKAP9,6027.0,3684.0,6.0,3.0,True
KIRC,non-sig-tested,DNAH9,3502.0,2578.0,168.0,1.0,True
KIRC,non-sig-tested,XIRP2,870.0,747.0,5.0,,True
KIRC,non-sig-tested,FBN2,7394.0,4097.0,136.0,2.0,True
KIRC,non-sig-tested,CSMD1,1492.0,1308.0,22.0,,True
KIRC,non-sig-tested,USP34,729.0,613.0,4.0,,True
KIRC,non-sig-tested,MYO16,615.0,538.0,9.0,,True
KIRC,non-sig-tested,CHD4,1094.0,870.0,72.0,1.0,True
KIRC,non-sig-tested,ZFHX4,858.0,769.0,13.0,,True
KIRC,non-sig-tested,RYR2,21182.0,10055.0,272.0,4.0,True
KIRC,non-sig-tested,TP53,12416.0,3966.0,1181.0,18.0,True
KIRC,non-sig-tested,EP300,3708.0,2423.0,283.0,7.0,True
KIRC,non-sig-tested,IGF2R,539.0,425.0,4.0,1.0,True
KIRC,non-sig-tested,BAP1,7504.0,3546.0,437.0,3.0,True
KIRC,non-sig-tested,SLITRK6,526.0,390.0,9.0,1.0,True
KIRC,non-sig-tested,RTTN,2471.0,1695.0,89.0,1.0,True
KIRC,non-sig-tested,AFDN,206.0,143.0,4.0,,True
KIRC,non-sig-tested,LRP2,7779.0,5106.0,211.0,1.0,True
KIRC,non-sig-tested,MYH2,2521.0,1742.0,121.0,1.0,True
